"Ensembl_ID","control_rep2","exp_rep3","exp_rep2","exp_rep1","control_rep1","control_rep3"
"ENSG00000227232.6",146,212,200,164,150,220
"ENSG00000243485.5",1,1,4,4,2,2
"ENSG00000238009.7",2,3,0,2,1,1
"ENSG00000233750.3",5,4,9,6,3,10
"ENSG00000268903.1",45,57,70,54,56,73
"ENSG00000269981.1",22,44,41,27,39,48
"ENSG00000241860.7",16,22,37,36,35,23
"ENSG00000279457.4",72,113,121,100,99,119
"ENSG00000292994.1",24,27,31,22,31,34
"ENSG00000290385.1",30,25,64,41,31,41
"ENSG00000293331.1",5,9,13,21,14,18
"ENSG00000225972.1",1018,2070,1682,1577,1478,1626
"ENSG00000225630.1",755,1203,1075,1034,788,993
"ENSG00000237973.1",364,555,509,467,374,543
"ENSG00000229344.1",31,80,53,39,25,45
"ENSG00000248527.1",3331,5787,4623,4201,4425,4660
"ENSG00000198744.5",43,113,85,56,63,67
"ENSG00000229376.3",2,1,1,4,0,3
"ENSG00000291215.1",110,88,151,129,112,126
"ENSG00000237491.10",17,23,26,27,20,25
"ENSG00000290784.1",4,4,6,5,3,3
"ENSG00000177757.2",1,4,4,6,2,5
"ENSG00000225880.6",29,50,47,31,52,42
"ENSG00000228794.12",1751,2109,2288,2359,1996,2649
"ENSG00000288531.1",0,2,3,3,1,0
"ENSG00000272438.1",22,28,30,27,21,28
"ENSG00000230699.2",102,134,133,102,104,119
"ENSG00000241180.1",2,4,1,1,0,4
"ENSG00000223764.2",88,124,109,81,75,128
"ENSG00000187634.13",93,148,53,59,90,131
"ENSG00000188976.11",10656,13440,11209,11524,11020,14225
"ENSG00000187961.15",258,341,411,361,343,383
"ENSG00000187583.11",103,126,143,149,116,141
"ENSG00000187642.10",3,0,0,2,3,0
"ENSG00000272512.1",21,25,42,22,16,23
"ENSG00000188290.11",438,713,426,366,450,554
"ENSG00000187608.10",588,581,501,493,614,848
"ENSG00000224969.1",4,8,9,12,6,12
"ENSG00000188157.15",50969,69113,58940,60960,51916,68225
"ENSG00000291156.1",63,64,71,80,82,68
"ENSG00000273443.1",7,4,2,4,3,1
"ENSG00000217801.13",5,10,11,10,14,6
"ENSG00000237330.3",32,42,41,30,41,35
"ENSG00000131591.18",831,1227,911,884,846,1128
"ENSG00000285812.1",7,11,26,14,17,12
"ENSG00000272141.1",5,8,7,5,9,10
"ENSG00000205231.1",14,11,11,2,17,14
"ENSG00000162571.14",14,9,12,14,19,23
"ENSG00000186891.14",6,3,2,1,6,5
"ENSG00000186827.12",2,3,2,1,3,6
"ENSG00000078808.20",8868,12066,11091,10421,9515,12394
"ENSG00000176022.7",2456,3260,2700,2746,2573,3234
"ENSG00000184163.3",29,42,27,25,29,28
"ENSG00000260179.1",3,13,4,9,11,8
"ENSG00000160087.21",2878,3920,3538,3397,3090,4025
"ENSG00000230415.1",5,4,6,3,8,9
"ENSG00000162572.21",39,60,48,42,60,72
"ENSG00000131584.19",2253,2544,2537,2332,2382,2939
"ENSG00000169972.13",863,1177,913,842,826,1179
"ENSG00000127054.22",4423,5568,4884,4567,4640,6024
"ENSG00000240731.1",36,40,60,51,47,30
"ENSG00000224051.7",1137,1469,1073,1165,1028,1451
"ENSG00000169962.5",26,23,21,18,13,26
"ENSG00000107404.21",3028,3686,3327,3004,3037,3874
"ENSG00000162576.17",1945,2037,1188,1127,1921,2485
"ENSG00000175756.14",3720,5235,3790,3793,3772,5064
"ENSG00000221978.13",2076,2565,3320,2747,2614,3066
"ENSG00000224870.9",1060,1344,1374,1253,1240,1597
"ENSG00000242485.6",3604,4950,4324,4424,3951,5252
"ENSG00000272455.1",138,145,192,167,146,187
"ENSG00000235098.9",439,612,443,439,509,678
"ENSG00000225905.1",5,9,8,7,9,9
"ENSG00000205116.4",111,135,114,146,149,187
"ENSG00000225285.1",36,55,57,43,50,51
"ENSG00000179403.12",3702,5514,4660,4796,3807,4995
"ENSG00000215915.10",47,69,124,91,67,94
"ENSG00000160072.20",1491,1838,1625,1596,1519,2030
"ENSG00000290916.1",1,2,2,0,0,2
"ENSG00000197785.14",2874,3941,2811,3005,3000,4053
"ENSG00000205090.10",92,139,81,65,98,132
"ENSG00000160075.12",6563,8671,7624,8005,7171,9328
"ENSG00000215014.5",35,51,31,53,37,63
"ENSG00000228594.4",521,658,445,462,536,754
"ENSG00000286989.1",6,8,8,9,9,6
"ENSG00000272106.1",136,196,160,160,134,175
"ENSG00000197530.13",1182,1735,1398,1374,1262,1625
"ENSG00000189409.14",3,5,0,1,4,2
"ENSG00000248333.9",2256,2696,2558,2530,2535,3231
"ENSG00000272004.1",3,4,0,3,3,1
"ENSG00000189339.12",6218,7135,8047,7367,6882,8639
"ENSG00000293187.1",53,54,87,80,72,67
"ENSG00000269737.3",20,18,45,21,31,30
"ENSG00000008128.23",126,145,212,147,150,212
"ENSG00000268575.1",97,140,135,142,158,178
"ENSG00000293188.1",128,159,212,202,194,230
"ENSG00000290854.1",122,136,143,137,132,202
"ENSG00000008130.15",4031,4851,5021,4419,4480,5561
"ENSG00000078369.19",34513,42896,41117,40798,41086,48640
"ENSG00000231050.3",7,13,9,12,8,16
"ENSG00000169885.10",2,5,11,7,1,6
"ENSG00000178821.13",161,248,168,167,178,234
"ENSG00000142609.20",25,34,18,24,28,40
"ENSG00000187730.9",1,2,3,0,2,0
"ENSG00000226969.1",2,2,1,1,1,2
"ENSG00000067606.17",2782,3293,3025,3286,2981,3819
"ENSG00000271806.1",6,4,3,0,0,1
"ENSG00000182873.5",157,218,223,182,193,248
"ENSG00000162585.17",2314,3151,2231,2242,2255,3055
"ENSG00000157933.11",4508,5887,5230,5119,5198,6421
"ENSG00000287356.1",59,82,89,57,57,105
"ENSG00000116151.14",282,312,364,419,371,411
"ENSG00000292993.1",132,151,156,118,151,206
"ENSG00000272420.1",7,9,4,2,4,4
"ENSG00000157916.20",4615,5778,5972,5876,5285,6275
"ENSG00000157911.11",1176,1470,1175,1292,1178,1495
"ENSG00000149527.18",16,13,15,13,20,29
"ENSG00000157881.16",1373,1638,1496,1523,1487,2017
"ENSG00000272449.3",16,32,23,20,22,37
"ENSG00000157873.18",23,37,33,35,31,44
"ENSG00000225931.3",7,3,10,7,4,7
"ENSG00000228037.1",3,3,8,6,1,6
"ENSG00000289610.2",0,2,3,2,0,1
"ENSG00000157870.17",2632,3607,3043,2975,2861,3482
"ENSG00000177133.14",647,811,648,582,652,893
"ENSG00000142611.17",3170,3145,3192,3087,3436,4228
"ENSG00000226286.1",6,4,7,4,0,2
"ENSG00000279839.1",0,2,2,1,3,1
"ENSG00000272235.1",13,16,13,7,8,18
"ENSG00000287828.1",14,27,15,15,26,20
"ENSG00000286518.1",4,7,0,6,6,8
"ENSG00000130762.15",1946,2446,2474,2414,2146,2692
"ENSG00000272088.1",5,10,6,5,5,3
"ENSG00000162591.17",4525,6371,5000,5093,4538,5885
"ENSG00000238260.3",2,10,10,14,8,7
"ENSG00000158109.15",5709,6878,6516,6349,6233,7707
"ENSG00000116213.16",1106,1619,1654,1434,1303,1530
"ENSG00000078900.16",78,102,114,93,102,112
"ENSG00000227589.1",5,1,1,0,3,2
"ENSG00000293478.1",1270,1635,1671,1504,1641,1822
"ENSG00000162592.10",8,10,9,10,10,15
"ENSG00000235169.11",104,159,91,120,105,168
"ENSG00000130764.10",4288,5664,5303,4889,4914,6074
"ENSG00000266075.2",1,4,5,5,1,5
"ENSG00000272153.1",21,24,28,23,18,26
"ENSG00000116198.14",2534,2719,3041,3001,2770,3364
"ENSG00000169598.17",834,976,1048,999,886,1070
"ENSG00000198912.12",1322,1846,1941,1717,1626,2040
"ENSG00000236423.8",19,33,43,40,27,19
"ENSG00000196581.11",32,44,43,26,42,40
"ENSG00000131697.18",633,778,809,717,835,920
"ENSG00000069424.16",259,305,210,177,256,362
"ENSG00000116254.18",13,10,13,12,14,14
"ENSG00000116251.11",15829,17329,18164,20625,17200,21588
"ENSG00000226944.1",20,38,20,13,21,26
"ENSG00000158286.13",182,221,346,271,272,301
"ENSG00000116237.16",12406,14516,14838,15473,14025,16502
"ENSG00000225077.3",41,39,32,24,38,52
"ENSG00000158292.7",633,968,659,633,788,961
"ENSG00000097021.21",6024,9527,6483,6859,6611,8531
"ENSG00000271746.1",2,2,7,0,4,1
"ENSG00000069812.11",353,515,626,550,445,512
"ENSG00000187017.18",679,1000,1044,1139,796,916
"ENSG00000215788.11",160,217,268,216,235,268
"ENSG00000171680.23",1585,1919,1809,1697,1751,2156
"ENSG00000162408.11",1662,1515,1899,1670,1954,2026
"ENSG00000173662.21",1,2,2,2,2,6
"ENSG00000204859.13",684,926,756,776,795,1052
"ENSG00000162413.17",2816,3743,3067,3165,3118,3810
"ENSG00000116273.6",2740,3494,3288,3086,3248,3903
"ENSG00000041988.16",805,1151,1178,1002,905,1246
"ENSG00000007923.17",4216,4752,4951,5025,4757,5964
"ENSG00000237436.1",18,11,11,7,8,17
